transaction_id,date,quarter,year,community,tier,property_type,bedrooms,area_sqft,price_aed,price_per_sqft,transaction_type,gross_roi_pct,annual_rent_est_aed
DLD-100016,2022-01-28,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3062000,3402.22,Off-Plan,3.82,117000.0
DLD-100017,2022-01-30,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2910000,3233.33,Ready,3.7,108000.0
DLD-100018,2022-03-06,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,2500,7291000,2916.4,Off-Plan,3.65,266000.0
DLD-100019,2022-03-19,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,2000,6359000,3179.5,Ready,3.85,245000.0
DLD-100020,2022-01-04,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4754000,3395.71,Ready,3.67,174000.0
DLD-100021,2022-03-13,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2419000,3225.33,Ready,3.3,80000.0
DLD-100022,2022-01-26,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2042000,3403.33,Off-Plan,3.77,77000.0
DLD-100023,2022-03-25,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3761000,3419.09,Off-Plan,3.8,143000.0
DLD-100024,2022-03-31,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2151000,2868.0,Off-Plan,3.81,82000.0
DLD-100025,2022-03-11,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2974000,3965.33,Ready,3.69,110000.0
DLD-100026,2022-02-23,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,4,2200,7042000,3200.91,Off-Plan,4.02,283000.0
DLD-100027,2022-01-29,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3863000,3511.82,Off-Plan,4.07,157000.0
DLD-100028,2022-02-27,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2208000,3680.0,Ready,3.61,80000.0
DLD-100029,2022-03-17,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2846000,3162.22,Ready,3.8,108000.0
DLD-100030,2022-02-05,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2894000,3215.56,Off-Plan,3.63,105000.0
DLD-100031,2022-01-01,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1400,5212000,3722.86,Off-Plan,3.73,195000.0
DLD-100032,2022-01-21,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,4000,13840000,3460.0,Ready,3.49,484000.0
DLD-100033,2022-03-31,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4706000,3361.43,Ready,3.53,166000.0
DLD-100034,2022-02-24,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3991000,3628.18,Ready,3.85,154000.0
DLD-100035,2022-02-13,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2042000,3403.33,Off-Plan,3.84,78000.0
DLD-100036,2022-02-05,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2122000,3536.67,Ready,4.15,88000.0
DLD-100037,2022-01-20,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,2500,8595000,3438.0,Ready,3.66,314000.0
DLD-100038,2022-01-28,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,3500,10545000,3012.86,Ready,3.96,417000.0
DLD-100039,2022-02-13,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2861000,3814.67,Off-Plan,3.97,113000.0
DLD-100040,2022-01-14,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3574000,3249.09,Ready,3.75,134000.0
DLD-100041,2022-01-12,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,4436000,4032.73,Off-Plan,3.81,169000.0
DLD-100042,2022-02-18,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1800,5897000,3276.11,Ready,3.76,222000.0
DLD-100043,2022-01-13,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4902000,3501.43,Off-Plan,3.71,182000.0
DLD-100044,2022-02-15,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4925000,3517.86,Off-Plan,3.84,189000.0
DLD-100045,2022-02-14,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,2000,5965000,2982.5,Ready,3.84,229000.0
DLD-100046,2022-03-19,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1400,4337000,3097.86,Ready,3.87,168000.0
DLD-100047,2022-02-03,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,3500,12114000,3461.14,Off-Plan,3.97,481000.0
DLD-100048,2022-01-06,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,4000,12610000,3152.5,Ready,3.9,492000.0
DLD-100049,2022-02-28,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,3500,15167000,4333.43,Ready,3.84,583000.0
DLD-100050,2022-03-10,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2519000,3358.67,Off-Plan,3.71,93000.0
DLD-100051,2022-01-16,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3000000,3333.33,Off-Plan,3.72,112000.0
DLD-100052,2022-02-18,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3667000,3333.64,Off-Plan,3.81,140000.0
DLD-100053,2022-01-11,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,2500,7567000,3026.8,Ready,4.25,322000.0
DLD-100054,2022-03-12,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,4181000,3800.91,Ready,3.42,143000.0
DLD-100055,2022-02-07,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,2500,8405000,3362.0,Off-Plan,3.65,307000.0
DLD-100056,2022-03-22,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2251000,3751.67,Off-Plan,4.14,93000.0
DLD-100057,2022-03-21,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,2500,8549000,3419.6,Ready,3.87,331000.0
DLD-100058,2022-02-16,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2812000,3749.33,Off-Plan,4.04,114000.0
DLD-100059,2022-03-15,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1875000,3125.0,Off-Plan,3.75,70000.0
DLD-100060,2022-01-25,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3427000,3807.78,Ready,3.75,129000.0
DLD-100061,2022-01-09,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2683000,2981.11,Ready,3.78,101000.0
DLD-100062,2022-01-06,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2870000,3188.89,Ready,3.61,104000.0
DLD-100063,2022-03-26,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3091000,3434.44,Off-Plan,3.92,121000.0
DLD-100064,2022-01-30,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2509000,3345.33,Ready,4.21,106000.0
DLD-100065,2022-02-07,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1600,4472000,2795.0,Ready,3.71,166000.0
DLD-100066,2022-01-11,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3704000,3367.27,Off-Plan,3.69,137000.0
DLD-100067,2022-01-30,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3184000,3537.78,Ready,3.87,123000.0
DLD-100068,2022-01-13,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,2500,8666000,3466.4,Off-Plan,3.94,342000.0
DLD-100069,2022-02-18,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1800,6253000,3473.89,Off-Plan,3.67,230000.0
DLD-100070,2022-02-05,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,4,2200,7965000,3620.45,Off-Plan,3.96,315000.0
DLD-100071,2022-02-28,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4939000,3527.86,Ready,3.7,183000.0
DLD-100072,2022-03-23,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1600,5702000,3563.75,Off-Plan,3.86,220000.0
DLD-100073,2022-02-16,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1800,5900000,3277.78,Ready,3.46,204000.0
DLD-100074,2022-01-21,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2874000,3193.33,Ready,3.92,113000.0
DLD-100075,2022-02-17,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3131000,3478.89,Off-Plan,3.4,107000.0
DLD-100076,2022-02-15,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1600,6050000,3781.25,Off-Plan,3.88,235000.0
DLD-100077,2022-01-27,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1897000,3161.67,Off-Plan,3.72,71000.0
DLD-100078,2022-03-27,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,3500,11783000,3366.57,Off-Plan,3.52,415000.0
DLD-100079,2022-02-04,Q1 2022,2022,Palm Jumeirah,Luxury,Villa,4,4000,11758000,2939.5,Ready,3.67,432000.0
DLD-100080,2022-03-31,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,4040000,3672.73,Ready,3.96,160000.0
DLD-100081,2022-03-29,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2943000,3270.0,Off-Plan,3.67,108000.0
DLD-100082,2022-03-24,Q1 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1979000,3298.33,Ready,3.9,77000.0
DLD-100083,2022-01-10,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1600,5950000,3718.75,Off-Plan,3.73,222000.0
DLD-100084,2022-03-19,Q1 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1400,4807000,3433.57,Ready,3.84,185000.0
DLD-100085,2022-06-21,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1800,7121000,3956.11,Ready,3.88,276000.0
DLD-100086,2022-04-22,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3222000,3580.0,Off-Plan,3.83,124000.0
DLD-100087,2022-06-08,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1800,5970000,3316.67,Ready,3.99,238000.0
DLD-100088,2022-05-02,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1666000,2776.67,Ready,3.7,62000.0
DLD-100089,2022-04-21,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1800,5102000,2834.44,Ready,3.87,197000.0
DLD-100090,2022-05-30,Q2 2022,2022,Palm Jumeirah,Luxury,Villa,4,2500,7483000,2993.2,Ready,4.15,310000.0
DLD-100091,2022-05-19,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1400,4658000,3327.14,Ready,3.75,175000.0
DLD-100092,2022-05-05,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1600,4621000,2888.12,Ready,4.06,187000.0
DLD-100093,2022-06-21,Q2 2022,2022,Palm Jumeirah,Luxury,Villa,4,4000,10761000,2690.25,Off-Plan,3.63,390000.0
DLD-100094,2022-06-28,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4687000,3347.86,Ready,3.81,179000.0
DLD-100095,2022-06-11,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,2000,6526000,3263.0,Off-Plan,3.5,228000.0
DLD-100096,2022-04-29,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1800,6367000,3537.22,Ready,3.59,228000.0
DLD-100097,2022-06-27,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2047000,3411.67,Ready,4.19,86000.0
DLD-100098,2022-05-12,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,5458000,3898.57,Ready,4.13,226000.0
DLD-100099,2022-04-08,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2247000,3745.0,Off-Plan,3.97,89000.0
DLD-100100,2022-04-30,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,0,450,1633000,3628.89,Off-Plan,3.47,57000.0
DLD-100101,2022-04-05,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4760000,3400.0,Ready,3.39,161000.0
DLD-100102,2022-05-11,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2601000,2890.0,Off-Plan,3.79,99000.0
DLD-100103,2022-05-22,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1800,6565000,3647.22,Off-Plan,3.53,231000.0
DLD-100104,2022-05-05,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2067000,3445.0,Off-Plan,3.62,75000.0
DLD-100105,2022-04-09,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,5455000,3896.43,Off-Plan,3.74,204000.0
DLD-100106,2022-04-28,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,0,450,1442000,3204.44,Off-Plan,3.65,53000.0
DLD-100107,2022-06-12,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1777000,2961.67,Off-Plan,3.76,67000.0
DLD-100108,2022-05-11,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2843000,3158.89,Ready,3.84,109000.0
DLD-100109,2022-04-28,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1400,5004000,3574.29,Ready,3.68,184000.0
DLD-100110,2022-06-23,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2454000,3272.0,Ready,3.36,83000.0
DLD-100111,2022-06-03,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3217000,3574.44,Ready,3.61,116000.0
DLD-100112,2022-05-21,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2981000,3312.22,Ready,3.62,108000.0
DLD-100113,2022-06-22,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2472000,3296.0,Off-Plan,3.79,94000.0
DLD-100114,2022-05-29,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2848000,3797.33,Ready,3.97,113000.0
DLD-100115,2022-04-19,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2389000,3981.67,Ready,3.99,95000.0
DLD-100116,2022-05-04,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1867000,3111.67,Ready,3.54,66000.0
DLD-100117,2022-04-18,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2515000,3353.33,Off-Plan,3.82,96000.0
DLD-100118,2022-05-02,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1903000,3171.67,Off-Plan,3.71,71000.0
DLD-100119,2022-06-11,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1606000,2676.67,Ready,3.93,63000.0
DLD-100120,2022-06-08,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2394000,3192.0,Off-Plan,3.94,94000.0
DLD-100121,2022-05-04,Q2 2022,2022,Palm Jumeirah,Luxury,Villa,4,4000,15575000,3893.75,Off-Plan,4.11,640000.0
DLD-100122,2022-06-14,Q2 2022,2022,Palm Jumeirah,Luxury,Villa,4,2500,7856000,3142.4,Ready,3.46,272000.0
DLD-100123,2022-05-25,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1763000,2938.33,Ready,3.95,70000.0
DLD-100124,2022-06-14,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2855000,3172.22,Off-Plan,3.81,109000.0
DLD-100125,2022-05-22,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1911000,3185.0,Ready,3.94,75000.0
DLD-100126,2022-05-17,Q2 2022,2022,Palm Jumeirah,Luxury,Villa,4,3000,8055000,2685.0,Off-Plan,3.65,294000.0
DLD-100127,2022-04-29,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,2000,6784000,3392.0,Off-Plan,3.82,259000.0
DLD-100128,2022-04-18,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,4025000,3659.09,Off-Plan,3.85,155000.0
DLD-100129,2022-06-05,Q2 2022,2022,Palm Jumeirah,Luxury,Villa,4,2500,8153000,3261.2,Ready,3.74,305000.0
DLD-100130,2022-06-03,Q2 2022,2022,Palm Jumeirah,Luxury,Villa,4,3000,10740000,3580.0,Off-Plan,3.74,401000.0
DLD-100131,2022-04-12,Q2 2022,2022,Palm Jumeirah,Luxury,Villa,4,3000,9497000,3165.67,Off-Plan,3.38,321000.0
DLD-100132,2022-04-07,Q2 2022,2022,Palm Jumeirah,Luxury,Villa,4,3000,10303000,3434.33,Off-Plan,3.76,387000.0
DLD-100133,2022-04-15,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4353000,3109.29,Ready,3.85,168000.0
DLD-100134,2022-04-20,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2578000,3437.33,Ready,3.72,96000.0
DLD-100135,2022-06-20,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4502000,3215.71,Off-Plan,3.88,175000.0
DLD-100136,2022-04-21,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3702000,3365.45,Ready,3.71,137000.0
DLD-100137,2022-06-27,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1600,5906000,3691.25,Off-Plan,3.72,219000.0
DLD-100138,2022-05-25,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3937000,3579.09,Ready,4.06,160000.0
DLD-100139,2022-06-16,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2297000,3062.67,Ready,3.7,85000.0
DLD-100140,2022-04-09,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2641000,3521.33,Off-Plan,3.79,100000.0
DLD-100141,2022-05-20,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2963000,3292.22,Ready,3.81,113000.0
DLD-100142,2022-05-19,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1800,6256000,3475.56,Ready,3.84,240000.0
DLD-100143,2022-06-16,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2688000,2986.67,Ready,4.16,112000.0
DLD-100144,2022-05-30,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,4,2200,6780000,3081.82,Ready,3.78,256000.0
DLD-100145,2022-06-07,Q2 2022,2022,Palm Jumeirah,Luxury,Villa,4,2500,10066000,4026.4,Off-Plan,3.9,393000.0
DLD-100146,2022-05-03,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2306000,3074.67,Ready,3.49,80000.0
DLD-100147,2022-06-10,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1600,5899000,3686.88,Off-Plan,3.64,215000.0
DLD-100148,2022-04-02,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2952000,3280.0,Ready,3.75,111000.0
DLD-100149,2022-06-27,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,5090000,3635.71,Ready,3.45,176000.0
DLD-100150,2022-04-15,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2947000,3274.44,Off-Plan,3.59,106000.0
DLD-100151,2022-06-27,Q2 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1800,5697000,3165.0,Ready,3.83,218000.0
DLD-100152,2022-06-08,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4470000,3192.86,Off-Plan,3.7,165000.0
DLD-100153,2022-05-05,Q2 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3346000,3717.78,Off-Plan,3.29,110000.0
DLD-100154,2022-09-21,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4174000,2981.43,Ready,3.53,147000.0
DLD-100155,2022-08-13,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2514000,3352.0,Off-Plan,3.89,98000.0
DLD-100156,2022-07-15,Q3 2022,2022,Palm Jumeirah,Luxury,Villa,3,2000,6707000,3353.5,Off-Plan,3.94,264000.0
DLD-100157,2022-08-07,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1951000,3251.67,Ready,3.9,76000.0
DLD-100158,2022-08-25,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,1964000,3273.33,Off-Plan,3.94,77000.0
DLD-100159,2022-07-21,Q3 2022,2022,Palm Jumeirah,Luxury,Villa,4,3000,11105000,3701.67,Ready,3.68,408000.0
DLD-100160,2022-08-28,Q3 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,1400,4629000,3306.43,Off-Plan,3.86,179000.0
DLD-100161,2022-07-01,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4503000,3216.43,Ready,3.56,160000.0
DLD-100162,2022-08-03,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3007000,3341.11,Off-Plan,3.56,107000.0
DLD-100163,2022-09-03,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,3057000,4076.0,Off-Plan,3.98,122000.0
DLD-100164,2022-07-23,Q3 2022,2022,Palm Jumeirah,Luxury,Villa,4,3000,10697000,3565.67,Off-Plan,3.86,413000.0
DLD-100165,2022-09-03,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2314000,3085.33,Off-Plan,3.56,82000.0
DLD-100166,2022-07-14,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,0,450,1621000,3602.22,Ready,3.84,62000.0
DLD-100167,2022-09-19,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2965000,3294.44,Ready,3.71,110000.0
DLD-100168,2022-08-08,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2235000,3725.0,Ready,3.85,86000.0
DLD-100169,2022-09-20,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3470000,3855.56,Off-Plan,3.77,131000.0
DLD-100170,2022-09-03,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3424000,3804.44,Off-Plan,3.9,133000.0
DLD-100171,2022-09-16,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3030000,3366.67,Off-Plan,3.51,106000.0
DLD-100172,2022-07-26,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3681000,3346.36,Off-Plan,3.62,133000.0
DLD-100173,2022-07-20,Q3 2022,2022,Palm Jumeirah,Luxury,Villa,4,4000,17310000,4327.5,Ready,3.92,678000.0
DLD-100174,2022-08-17,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,2826000,3140.0,Ready,4.02,114000.0
DLD-100175,2022-07-21,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2024000,3373.33,Ready,4.18,85000.0
DLD-100176,2022-09-08,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2670000,3560.0,Ready,3.92,105000.0
DLD-100177,2022-09-06,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3467000,3852.22,Off-Plan,3.55,123000.0
DLD-100178,2022-07-01,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,4914000,3510.0,Ready,3.91,192000.0
DLD-100179,2022-09-15,Q3 2022,2022,Palm Jumeirah,Luxury,Villa,4,4000,15535000,3883.75,Off-Plan,3.51,545000.0
DLD-100180,2022-08-11,Q3 2022,2022,Palm Jumeirah,Luxury,Townhouse,4,2200,7828000,3558.18,Off-Plan,3.88,304000.0
DLD-100181,2022-09-01,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3270000,3633.33,Ready,3.88,127000.0
DLD-100182,2022-07-03,Q3 2022,2022,Palm Jumeirah,Luxury,Townhouse,4,2200,7730000,3513.64,Ready,3.81,294000.0
DLD-100183,2022-07-15,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,3941000,3582.73,Off-Plan,3.53,139000.0
DLD-100184,2022-08-16,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,1,600,2230000,3716.67,Ready,4.04,90000.0
DLD-100185,2022-08-09,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2489000,3318.67,Ready,3.68,92000.0
DLD-100186,2022-07-31,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,3,1400,5422000,3872.86,Ready,3.82,207000.0
DLD-100187,2022-07-08,Q3 2022,2022,Palm Jumeirah,Luxury,Townhouse,3,2000,7758000,3879.0,Ready,4.03,313000.0
DLD-100188,2022-07-31,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3041000,3378.89,Ready,3.72,113000.0
DLD-100189,2022-09-11,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,1100,4389000,3990.0,Off-Plan,3.74,164000.0
DLD-100190,2022-07-11,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,1,750,2508000,3344.0,Off-Plan,3.79,95000.0
DLD-100191,2022-07-11,Q3 2022,2022,Palm Jumeirah,Luxury,Apartment,2,900,3277000,3641.11,Off-Plan,3.77,123000.0
